2026-03-04 23:06:13 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:06:13] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:06:27 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:06:27] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 23:06:43 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:06:43] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 23:07:23 | INFO | utility | Scheduler triggered via UI.
2026-03-04 23:07:24 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 23:07:24 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:07:24] "POST /api/run HTTP/1.1" 200 -
2026-03-04 23:07:24 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:07:24] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:08:49 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:08:49] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 23:10:21 | INFO | utility | availability columns: ['Horodateur', 'Name', 'Adresse e-mail', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']
2026-03-04 23:10:21 | INFO | utility | /api/availability: 20 workers
2026-03-04 23:10:21 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:10:21] "GET /api/availability HTTP/1.1" 200 -
2026-03-04 23:11:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:36] "GET / HTTP/1.1" 200 -
2026-03-04 23:11:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:36] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 23:11:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:36] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 23:11:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:36] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-03-04 23:11:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:36] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 23:11:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:37] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 23:11:37 | INFO | utility | availability columns: ['Horodateur', 'Name', 'Adresse e-mail', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']
2026-03-04 23:11:37 | INFO | utility | /api/availability: 20 workers
2026-03-04 23:11:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:37] "GET /api/availability HTTP/1.1" 200 -
2026-03-04 23:11:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:37] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:11:42 | INFO | utility | Scheduler triggered via UI.
2026-03-04 23:11:43 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 23:11:43 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:43] "POST /api/run HTTP/1.1" 200 -
2026-03-04 23:11:43 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:11:43] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:12:16 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:16] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 23:12:27 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:27] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:12:58 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:58] "GET / HTTP/1.1" 200 -
2026-03-04 23:12:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:59] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 23:12:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:59] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-03-04 23:12:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:59] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 23:12:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:12:59] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 23:12:59 | INFO | utility | availability columns: ['Horodateur', 'Name', 'Adresse e-mail', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']
2026-03-04 23:12:59 | INFO | utility | /api/availability: 20 workers
2026-03-04 23:13:00 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:13:00] "GET /api/availability HTTP/1.1" 200 -
2026-03-04 23:13:00 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:13:00] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:13:13 | INFO | utility | Scheduler triggered via UI.
2026-03-04 23:13:14 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 23:13:14 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:13:14] "POST /api/run HTTP/1.1" 200 -
2026-03-04 23:13:15 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:13:15] "GET /api/shortage HTTP/1.1" 200 -
